(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DS89WVNM,B0DS89WVNM,"TREE MAISON CORONATING HOMES Vastu Iron Strip | 1 Inch | Pack of 1 | Vastu Strip Remedy | Width-25mm, Thikness-0.2mm, Length-50 Feet Approx | Strip for vastu Correction | Main Door",50FEET-1INCH-STRIP-IRON-SET-1,37,0,0.01%,0.00%,49,0,0.01%,0.00%,100.00%,0.00%,3,0,8.11%,0.00%,"₹2,641.00",₹0.00,3,0
B0DTK85D1M,B0DTK85D1M,"TREE MAISON CORONATING HOMES Vastu Aluminium Spring (Set-9) | Vastu Anti Clock Wise Spring | Vastu Spring Remedy | Vastu Remedy | Direction-NNW, N, NNE, NE |",ALUMINIUM-ACW-SPRING-ST-9,17,2,0.00%,0.01%,30,2,0.01%,0.01%,100.00%,100.00%,4,0,23.53%,0.00%,"₹1,796.00",₹0.00,3,0
B0DTK85FRG,B0DTK85FRG,"TREEMAISON Aluminium Spring (Set-3) | Clock Wise Spring | Vastu Spring Remedy | Vastu Remedy | Direction-NNW, N, NNE, NE |",ALUMINIUM-CW-SPRING-ST-3,47,4,0.01%,0.02%,60,7,0.01%,0.03%,100.00%,100.00%,10,8,21.28%,200.00%,"₹2,840.00","₹2,272.00",3,1
B0DTK85FRJ,B0DTK85FRJ,"TREE MAISON CORONATING HOMES Brass Spring (Set-3) | Anti Clock Wise Spring | Vastu Spring Remedy | Vastu Remedy | Direction-SSE, SW |",BRASS-ACW-SPRING-ST-3,25,2,0.01%,0.01%,31,3,0.01%,0.01%,100.00%,100.00%,3,0,12.00%,0.00%,₹867.00,₹0.00,3,0
B0DTK8L99F,B0DTK8L99F,"TREE MAISON CORONATING HOMES TREEMAISON Stainless Steel Spring (Set-3) | Anti Clock Wise Spring | Vastu Spring Remedy | Vastu Remedy | Direction-ENE, E, EWE |",STAINLESS STEEL-ACW-SPRING-ST-3,14,0,0.00%,0.00%,15,0,0.00%,0.00%,100.00%,0.00%,3,0,21.43%,0.00%,₹852.00,₹0.00,3,0
B0DTK8WGTP,B0DTK8WGTP,"TREE MAISON CORONATING HOMES Iron Spring (Set-3) |Anti Clock Wise Spring | Vastu Spring Remedy | Vastu Remedy | Direction-WSW, W, WNW",IRON-ACW-SPRING-ST-3,17,2,0.00%,0.01%,23,2,0.00%,0.01%,100.00%,100.00%,4,1,23.53%,50.00%,"₹1,136.00",₹284.00,3,1
B0DW8ZMD1C,B0DW8ZMD1C,TREE MAISON CORONATING HOMES Red Horse | Vastu 12 Running Horses |Size-39cm Approx |Weight- 1800gm Approx | 12 Horses Vastu Remedy | Decorative Showpiece for Home and Office |Pack of 1,12-RED-HORSES,61,2,0.02%,0.01%,79,2,0.01%,0.01%,97.10%,100.00%,3,0,4.92%,0.00%,"₹5,697.00",₹0.00,3,0
B0DY1LX3T7,B0DY1LX3T7,TREE MAISON CORONATING HOMES Vastu Combo Blue Tape | Size - 1 Inch (24 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Pack of 2,1-INCH-TAPE-BLUE-ST2,3,0,0.00%,0.00%,3,0,0.00%,0.00%,100.00%,0.00%,3,0,100.00%,0.00%,₹568.00,₹0.00,3,0
B0DZXPHJ54,B0DZXPHJ54,TREE MAISON CORONATING HOMES Lead Gaa Helix | 6 Inch | Energy Booster Vastu Remedy | Vastu Helix Remedy for Zone Correction | Zonal Placement - SW | Pack of 1,6IN-LEAD-GAA-HELIX-SET-1,49,1,0.01%,0.01%,55,1,0.01%,0.00%,100.00%,0.00%,16,0,32.65%,0.00%,"₹7,563.00",₹0.00,3,0
B0DZXPHS9S,B0DZXPHS9S,TREE MAISON CORONATING HOMES Copper Hii Helix | 6 Inch | Energy Booster Vastu Remedy | Vastu Helix Remedy for Zone Correction | Zonal Placement - SE | Pack of 1,6IN-COPPER-HII-HELIX-SET-1,48,2,0.01%,0.01%,65,2,0.01%,0.01%,100.00%,100.00%,3,0,6.25%,0.00%,"₹2,280.00",₹0.00,3,0
B0F1943KDR,B0F1943KDR,TREE MAISON CORONATING HOMES Black Onyx Tumble Stone | 50gm Tumbled Gemstones | Reiki Healing Stones | Home Decor Pebbles | Aquarium Gravel | Garden & Table Decor,BLACK-ONYX-TUMBLE-50-GRAM,26,3,0.01%,0.02%,34,3,0.01%,0.01%,100.00%,100.00%,4,2,15.38%,66.67%,₹816.00,₹408.00,3,1
B0F2SRBR34,B0F2SRBR34,TREE MAISON CORONATING HOMES Vastu Brass Helix | Vastu Helix | Main Door Entrance & Toilet Dosh Correction | Vastu Dosh Nivaran Remedies (4-inch) | Pack of 1,CHO-KU-REI-SYMBOL-BRASS-HELIX,84,2,0.02%,0.01%,123,2,0.02%,0.01%,100.00%,100.00%,7,0,8.33%,0.00%,"₹4,479.00",₹0.00,3,0
B0F94674QY,B0F94674QY,BRONGS Brass Dowsing Rods Pair |Diameter-8 MM | Set of Board & Brass Pendulum| Aura Energy Checker | Feng Shui | Reiki | Dowser | Divining Rod | L-Rod |Pendulum Assorted,8MM-BRASS-DOWSING-HANDLE-ROD,84,3,0.02%,0.02%,110,3,0.02%,0.01%,99.01%,100.00%,3,1,3.57%,33.33%,"₹5,697.00","₹1,899.00",3,1
B0F9X4R5SP,B0F9X4R5SP,BRONGS Brass Eagle Statue | Height - 15 cm Aprrox | Weight - 550 Gram Approx | Vastu Idol for Home and Office | Zonal Placement - SW | Flying Eagle Statue for Vastu |Pack of 1,BG-EAGLE,61,4,0.02%,0.02%,84,7,0.01%,0.03%,100.00%,100.00%,4,0,6.56%,0.00%,"₹3,796.00",₹0.00,3,0
B0F9X6LCSD,B0F9X6LCSD,BRONGS Brass Kuber Statue | Height - 18 cm Aprrox | Weight - 1678 Gram Approx | Vastu Idol for Home and Office | Zonal Placement -North | Kubera Idol | Kuber Murti,BG-BIG-KUBER,61,0,0.02%,0.00%,91,0,0.02%,0.00%,100.00%,0.00%,3,0,4.92%,0.00%,"₹8,547.00",₹0.00,3,0
B0FC6TXPR1,B0FC6TXPR1,"TREE MAISON CORONATING HOMES Crystal Rose Quartz Pencil |Height - 2 to 3 Inch| Reiki Crystal Pencil for Meditation, Aura Cleansing & Spiritual Practices | Home Decor & Gift |",2-3-INCH-ROSE-QUARTZ-PENCIL,38,1,0.01%,0.01%,54,1,0.01%,0.00%,100.00%,100.00%,7,0,18.42%,0.00%,"₹1,136.00",₹0.00,3,0
B0FDBD47FP,B0FDBD47FP,"TREE MAISON CORONATING HOMES Natural White Mica Chips (Muscovite) | Raw Crystal Chips for Healing, Energy Work, Meditation & Home Decor | 500g Pack |",MUSCOVITE-CHIPS-500GRAM,16,1,0.00%,0.01%,20,1,0.00%,0.00%,100.00%,100.00%,3,1,18.75%,100.00%,"₹1,137.00",₹379.00,3,1
B0FF2C15C1,B0FF2C15C1,TREE MAISON CORONATING HOMES 10 cm Selenite Bowl with 100g Pyrite | Crystal Charging Bowl with Pyrite Stone for Wealth Energy & Decor | Energy Healing Set,8CM-SELENITE-BOWL+100GM-PYRITE,129,6,0.03%,0.04%,138,8,0.02%,0.03%,100.00%,100.00%,3,0,2.33%,0.00%,"₹3,702.00",₹0.00,3,0
B0FF2FGVVG,B0FF2FGVVG,"BRONGS 10 cm Selenite Crystal Bowl | Polished White Crystal Bowl for Charging Crystals, Decor & Energy Cleansing | Elegant Spiritual Decor for Home & Meditation (Bowl) Pack of 1",BG-SELENITE-BOWL-8CM,79,5,0.02%,0.03%,103,5,0.02%,0.02%,100.00%,100.00%,4,0,5.06%,0.00%,"₹3,835.00",₹0.00,3,0
B0FF9JBMPG,B0FF9JBMPG,"TREE MAISON CORONATING HOMES Aquamarine Crystal Chips |100gm | Crystal Rough Stone for Home Decor, Reiki Healing | Tranquility",AQUAMARINE-CHIPS-100-GM,71,14,0.02%,0.08%,102,14,0.02%,0.06%,100.00%,100.00%,3,1,4.23%,7.14%,₹852.00,₹284.00,3,1
B0FF9JJVST,B0FF9JJVST,"TREE MAISON CORONATING HOMES Rose Quartz Chips |500gm | Crystal Stone for Home Decor, Reiki Healing | Love & Harmony",ROSE-QUARTZ-CHIPS-500-GM,55,3,0.01%,0.02%,68,3,0.01%,0.01%,98.48%,100.00%,3,0,5.45%,0.00%,₹852.00,₹0.00,3,0
B0FF9LVG15,B0FF9LVG15,"TREE MAISON CORONATING HOMES Rose Quartz Chips |100gm | Crystal Rough Stone for Home Decor, Reiki Healing | Love & Harmony",ROSE-QUARTZ-CHIPS-100-GM,21,0,0.01%,0.00%,25,0,0.00%,0.00%,100.00%,0.00%,3,1,14.29%,0.00%,₹567.00,₹189.00,3,1
B0FFH8H3TJ,B0FFH8H3TJ,TREE MAISON CORONATING HOMES Pendulum Mat with Crystal Dowsing Pendulum | Altar Tarot Reading Pad for Divination & Energy Work | Dowsing Pendulum Mat | Zodiac Mat |,ZODIAC-MAT-CRYSTAL-PENDULUM,171,2,0.04%,0.01%,229,2,0.04%,0.01%,100.00%,100.00%,5,0,2.92%,0.00%,"₹2,350.00",₹0.00,3,0
B0FFTF4BY2,B0FFTF4BY2,"TREE MAISON CORONATING HOMES Turquiose Pyramid | 1.5-Inch (33 mm) |Emotional Healing, and Harmony | Perfect for Meditation and Gifting | Vastu Remedy",1.5-INCH-TURQUOISE-PYRAMID,26,1,0.01%,0.01%,37,1,0.01%,0.00%,93.33%,0.00%,4,0,15.38%,0.00%,₹755.46,₹0.00,3,0
B0FHB1CVFP,B0FHB1CVFP,TREE MAISON CORONATING HOMES Orthoceras Kuber Stone Bowl | Length-11 cm |Fossil Tower for Financial Abundance | 216g Healing Crystal for Stability & Balance,KUBER-BOWL,131,3,0.03%,0.02%,177,3,0.03%,0.01%,100.00%,100.00%,3,0,2.29%,0.00%,"₹3,187.00",₹0.00,3,0
B0FHH28CW8,B0FHH28CW8,"TREE MAISON CORONATING HOMES Selenite Charging Plate – 3 Inch with 10–20 Gram Raw Pyrite Stone | Selenite Plate for Crystal Charging, Energy Healing & Spiritual Decor",7-CHAKRA-FLOWER-ROUND-PLT-10GM-PYRIT,21,0,0.01%,0.00%,24,0,0.00%,0.00%,95.83%,0.00%,3,0,14.29%,0.00%,"₹1,158.00",₹0.00,3,0
B0FL75VKVC,B0FL75VKVC,TREE MAISON CORONATING HOMES Dowsing Mat with Black Tourmaline Pendulum | Altar Tarot Reading Pad for Divination & Energy Work | Dowsing Pendulum Mat,ZODIAC-MAT-BLK-TOURMALINE-PEND,52,2,0.01%,0.01%,73,3,0.01%,0.01%,100.00%,100.00%,3,1,5.77%,50.00%,"₹1,445.00",₹497.00,3,1
B0FP54ZZ9G,B0FP54ZZ9G,BRONGS Lead Gaa Helix | 6 Inch |Energy Booster Vastu Remedy| Vastu Helix Remedy for Zone Correction |Zonal Placement - SW | Pack of 1,BG-6IN-LEAD-GAA-HELIX-SET-1,16,1,0.00%,0.01%,23,1,0.00%,0.00%,100.00%,100.00%,3,0,18.75%,0.00%,"₹1,472.00",₹0.00,3,0
B0FPCF3VLK,B0FPCF3VLK,BRONGS Dowsing Evil Eye Board (9 Inch) Seven Chakra Pendulum | Divination Metaphysical Message Board | Dowsing Board with Crystal Pendulum,BG-EVIL-EYE-BOARD+CRYS-PEND-9IN,133,1,0.03%,0.01%,167,1,0.03%,0.00%,100.00%,100.00%,3,0,2.26%,0.00%,"₹1,520.00",₹0.00,3,0
