(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer Percentage,Featured Offer Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0B71Z5CHS,B0B71Z5CHS,"TREE MAISON CORONATING HOMES Vastu Copper Pyramid Solid |2.5inch |Weight- 845gm Approx |Pyramid for South-East Entrance, Toilet, Kitchen, Bedroom Vastu Defect Dosha Remedies (Copper) |Pack of 1",VASTU-PYRAMID-COPPER,235,10,0.06%,0.06%,357,11,0.06%,0.04%,99.65%,100.00%,12,0,5.11%,0.00%,"₹23,088.00",₹0.00,7,0
B0B77622F6,B0B77622F6,TREE MAISON CORONATING HOMES Vastu Combo of Five Color Tapes | Size - 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Pack of 5,3-INCH-TAPE-SET-5-merchant,"1,567",71,0.39%,0.42%,"2,160",96,0.37%,0.38%,99.16%,98.46%,7,2,0.45%,2.82%,"₹6,580.47","₹1,791.26",7,2
B0BCGS4F28,B0BCGS4F28,TREE MAISON CORONATING HOMES Vastu 3 Layer Pyramid | Plastic Moulded Multi-Layer Plastic Pyramid Vastu Remedy for Home and Office (Yellow) | Pack of 1,3LAYER-PLASTIC-PYRAMID-YELLOW,53,5,0.01%,0.03%,62,6,0.01%,0.02%,100.00%,100.00%,10,0,18.87%,0.00%,"₹2,840.00",₹0.00,7,0
B0BHSR1G69,B0BHSR1G69,TREE MAISON CORONATING HOMES Vastu Brass Pendulum | Brass Dowsing Pendulum |Healing (Pack of 1),BULLET-3LAYER-PENDULUM-BRASS,165,10,0.04%,0.06%,263,17,0.05%,0.07%,99.51%,100.00%,9,0,5.45%,0.00%,"₹1,788.27",₹0.00,7,0
B0BJZV5SPF,B0BJZV5SPF,"TREE MAISON CORONATING HOMES Iron Strip | 1 INCH | Pack of 1 | Iron Strip for Vastu | Vastu Strip Remedy | Width-25mm, Thickness-1 mm, Length-8 Feet Approx",BIG-18MM-STRIP-IRON,58,1,0.01%,0.01%,75,1,0.01%,0.00%,100.00%,100.00%,10,0,17.24%,0.00%,"₹4,890.00",₹0.00,7,0
B0C7MWYYC8,B0C7MWYYC8,"TREE MAISON CORONATING HOMES Brass Strip | 1 INCH | Pack of 1 | Brass Strip Vastu | Vastu Strip Remedy | Width-25mm, Thikness-1 mm, Length-8 Feet Approx",BRASS-STRIP-1MM-.COM,148,11,0.04%,0.06%,246,11,0.04%,0.04%,100.00%,100.00%,8,0,5.41%,0.00%,"₹12,152.00",₹0.00,7,0
B0CKZC7YJG,B0CKZC7YJG,TREE MAISON CORONATING HOMES Vastu Combo of 5 Color Tape | Size - 4 Inch (96 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door Entrance | Pack of 5,4-INCH-TAPE-SET-5,109,4,0.03%,0.02%,153,4,0.03%,0.02%,99.28%,100.00%,8,0,7.34%,0.00%,"₹9,172.00",₹0.00,7,0
B0CLVMWNW9,B0CLVMWNW9,TREE MAISON CORONATING HOMES Copper Swastik (卐) Sathiya Wall Hanging Yantra | 3 Inch | Vastu Door Hanging for Good Luck & Auspicious Energy | Decorative Home Decor Symbol for Positive Vibes,3''-COPPER-SWASTIK,"1,154",36,0.29%,0.21%,"1,675",51,0.29%,0.20%,99.45%,100.00%,9,0,0.78%,0.00%,"₹3,581.88",₹0.00,7,0
B0CPVM8DM9,B0CPVM8DM9,TREE MAISON CORONATING HOMES Vastu Aluminium Strip | Width- 1 Inch | Thickness - 0.2mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Aluminium Strip for Vastu | Pack of 1,LW-ALUMINIUM-1INCH-STRIP-SET-1,36,1,0.01%,0.01%,52,1,0.01%,0.00%,100.00%,100.00%,7,0,19.44%,0.00%,"₹1,998.00",₹0.00,7,0
B0CPVMY4JP,B0CPVMY4JP,TREE MAISON CORONATING HOMES Vastu Iron Strip | Width- 0.5 Inch | Thickness - 0.2mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Iron Strip for Vastu | Pack of 2,LW-IRON-0.5INCH-STRIP-SET-2,39,3,0.01%,0.02%,48,3,0.01%,0.01%,100.00%,100.00%,7,0,17.95%,0.00%,"₹2,271.00",₹0.00,7,0
B0CZ48JNKT,B0CZ48JNKT,"TREE MAISON CORONATING HOMES Lapis Lazuli Crystal Pyramid | 2 Inch | Feng Shui & Vastu Correction | Crystal Pyramid for Positive Energy, Health, Good Luck | Home & Office Decor | Gift | Study Table",LAPIZ-LASULI-PYRAMID-2INCH,101,0,0.03%,0.00%,126,0,0.02%,0.00%,100.00%,0.00%,7,0,6.93%,0.00%,"₹2,093.00",₹0.00,7,0
B0CZ49ZHY2,B0CZ49ZHY2,"TREE MAISON CORONATING HOMES Amethyst Crystal Pyramid | 2 Inch | Feng Shui & Vastu Correction | Crystal Pyramid for Positive Energy, Meditation, Health | Home & Office Decor | Gift | Study Table",AMETHYST-PYRAMID-2INCH,94,3,0.02%,0.02%,118,3,0.02%,0.01%,98.10%,100.00%,7,0,7.45%,0.00%,"₹2,093.00",₹0.00,7,0
B0CZ4B73D5,B0CZ4B73D5,"TREE MAISON CORONATING HOMES Turquoise Crystal Pyramid (2 Inch) | Feng Shui & Vastu Correction | Crystal Pyramid for Positive Energy, Health, Good Luck | | Home & Office Decor | Gift |",TURQUOISE-PYRAMID-2INCH,97,1,0.02%,0.01%,122,2,0.02%,0.01%,99.12%,0.00%,7,0,7.22%,0.00%,"₹2,109.00",₹0.00,7,0
B0D1KNX5S4,B0D1KNX5S4,TREE MAISON CORONATING HOMES Black Star Dowsing Board | Size - 6 Inch | Acrylic Set Include Crystal Seven Chakra Pendulum | Pendulum Dowsing Board,BLACK-BOARD-6INCH+CRYS-PEND,126,5,0.03%,0.03%,161,6,0.03%,0.02%,100.00%,100.00%,7,0,5.56%,0.00%,"₹2,693.00",₹0.00,7,0
B0D9W8L485,B0D9W8L485,TREE MAISON CORONATING HOMES Vastu Green - White Tape | Size - 3 Inch (72 mm) Approx | Length- 20 Meter (Approx) | Vastu Tape Remedy for Toilet | Vastu Tape for Main Door | Tape Remedy | Pack of 2,GREEN-WHITE-3INCH-TAPE,85,3,0.02%,0.02%,112,4,0.02%,0.02%,100.00%,100.00%,7,0,8.24%,0.00%,"₹3,443.00",₹0.00,7,0
B0DG92RW89,B0DG92RW89,TREE MAISON CORONATING HOMES Vastu Brass Strip | Width- 0.5 Inch | Thickness - 0.2mm | Length- 50 Feet Approx | Strip for Entrance & Toilet Correction | Brass Strip for Vastu | Pack of 1,50FEET-0.5INCH-STRIP-BRASS-SET-1,25,0,0.01%,0.00%,52,0,0.01%,0.00%,100.00%,0.00%,9,0,36.00%,0.00%,"₹9,191.00",₹0.00,7,0
B0DS8GLWML,B0DS8GLWML,TREE MAISON CORONATING HOMES Vastu Plastic Red & White Swastik Pyramid Plate for Positive Energy | Size - 2 Inch | Vastu Remedy | Wall Hanging Swastik | Pack of 2 | Prosperity & Peace Enhancer,2IN-PLASTIC-RED-SWASTIK-ST-2,87,5,0.02%,0.03%,120,6,0.02%,0.02%,100.00%,100.00%,10,0,11.49%,0.00%,"₹2,855.00",₹0.00,7,0
B0DSJFK5RC,B0DSJFK5RC,"TREE MAISON CORONATING HOMES Vastu Aluminium Virtual Rod | 9-Inch |Weight- 240gm Approx | Virtual Entry Rod for Wealth, Prosperity & Success | Size: 9 Inch x 2.2cm | Pack of 1",9IN-ALUMINIUM-VIRTUAL-ROD-ST1,750,36,0.19%,0.21%,958,53,0.16%,0.21%,99.89%,100.00%,17,0,2.27%,0.00%,"₹8,143.00",₹0.00,7,0
B0FDFWLL4T,B0FDFWLL4T,"BRONGS Natural White Mica Chips (Muscovite) | Raw Crystal Chips for Healing, Energy Work, Meditation & Home Decor | 500g Pack | Spiritual Vastu Stones",BG-500GRAM-MUSCOVITE-CHIPS,56,6,0.01%,0.04%,78,6,0.01%,0.02%,98.46%,100.00%,7,0,12.50%,0.00%,"₹2,607.00",₹0.00,7,0
B0FH2FS266,B0FH2FS266,"BRONGS Amethyst Pyramid | 1.3-Inch (33 mm) | Natural Amethyst Crystal Pyramid for Calmness, Meditation, and Spiritual Healing|Perfect for Home Decor and Gifting",BG-1.5-INCH-AMETHYST-PYRAMID,88,3,0.02%,0.02%,109,3,0.02%,0.01%,100.00%,100.00%,7,0,7.95%,0.00%,"₹1,343.00",₹0.00,7,0
B0FH6R9PZ2,B0FH6R9PZ2,BRONGS Dowsing Board with Clear Quartz Pendulum | 6 Inch |Dowsing Board | Metaphysical Message Board | Acrylic Divination Board | Spirit Board | Witch Board |,BG-6IN-L-BROWN-BOARD+CLR-QTZ-PND,94,3,0.02%,0.02%,133,5,0.02%,0.02%,100.00%,100.00%,7,0,7.45%,0.00%,"₹2,426.00",₹0.00,7,0
B0FJ1MM846,B0FJ1MM846,BRONGS Green Vastu Correction Tape | 3 Inch (72mm) Approx | Length- 20 Meter Approx | Toilet Vastu Remedy | Pack of 1,BG-3-IN-GREEN-TAPE,77,1,0.02%,0.01%,119,1,0.02%,0.00%,96.15%,100.00%,8,1,10.39%,100.00%,"₹2,115.96",₹265.00,7,1
B0FPCD61G1,B0FPCD61G1,BRONGS Brown Dowsing Board with Brass Pendulum(6 INCH) | Metaphysical Message Board for Witchcraft | Pendulum Dowsing Board (Dark Brown Board),BG-D.BROWN-BOARD-6IN,147,3,0.04%,0.02%,181,3,0.03%,0.01%,100.00%,100.00%,7,0,4.76%,0.00%,"₹2,324.00",₹0.00,7,0
B0GC5C71NQ,B0GC5C71NQ,BRONGS Vastu BRASS Strip | Width- 0.5 Inch | Thickness - 0.5mm | Length- 8 Feet Approx | Zone Balancing strip |Toilet Correction |Pack of 1,BG-0.5MM-8FT-STRIP-0.5INCH-BRASS-ST-1,68,1,0.02%,0.01%,92,2,0.02%,0.01%,100.00%,100.00%,12,1,17.65%,100.00%,"₹5,688.00",₹474.00,7,1
B0GFDLYDL6,B0GFDLYDL6,TREE MAISON CORONATING HOMES Vastu Brass Coin |Weight-30GM (Each PCS) Approx | Vastu Remedy | Brass Coin for Balancing | Pack of 5,BRASS-COINS-SET-5,136,9,0.03%,0.05%,188,11,0.03%,0.04%,96.99%,100.00%,10,0,7.35%,0.00%,"₹8,540.00",₹0.00,7,0
B0GHR74LT8,B0GHR74LT8,BRONGS Pure Brass Hollow Curve Pyramid | Size- 2Inch |Weight- 10gm Approx |Pack of 1 |Boost Positive Vastu Energy for Home & Office | Powerful Remedies for Health & Wealth,BG-2-INCH-BRASS-HLW-CURVE-PYRAMID-ST-1,85,5,0.02%,0.03%,107,5,0.02%,0.02%,95.83%,100.00%,8,0,9.41%,0.00%,"₹1,136.00",₹0.00,7,0
B08JZ9QRZ7,B08JZ9QRZ7,Shubh Sanket Vastu Brass Strip 1 inch (Mahavastu Remedies) (7.5 feet) (2 Strip Roll),NEWW-BRASS-STRIP-ST2-01,54,4,0.01%,0.02%,72,5,0.01%,0.02%,92.31%,100.00%,8,1,14.81%,25.00%,"₹6,624.00",₹807.00,6,1
B08KTGV1CN,B08KTGV1CN,"Acrylic Shubh Sanket Vastu Village Scene with Frame (16.5 x 20.5 inches, Multicolour)",VILLAGE-SCENE-WITH-FRAME-01,208,7,0.05%,0.04%,301,13,0.05%,0.05%,98.44%,100.00%,6,0,2.88%,0.00%,"₹5,138.00",₹0.00,6,0
B091YNLS83,B091YNLS83,TREEMAISON Vastu Combo of White-Green Color Tape |Size - 4 Inch| Length- 10 Feet (Approx) |Vastu Remedy for Toilet | Main Door Entrance | Tape Remedy | (Pack of 2),GREEN-WHITE-SMALL-TAPE-VINYL,58,4,0.01%,0.02%,72,5,0.01%,0.02%,100.00%,100.00%,6,0,10.34%,0.00%,"₹1,536.00",₹0.00,6,0
B09BL7LJBY,B09BL7LJBY,"Treemaison Lush Green Nature Landscape Painting With Frame |Size - 21.3 X 15.5 IN Approx| Green Nature Wall Art for Positive Energy, Harmony & Prosperity With Frame |Pack Of 1",VASTU-GREEN-PAINTING,102,6,0.03%,0.04%,160,6,0.03%,0.02%,100.00%,100.00%,7,0,6.86%,0.00%,"₹6,009.00",₹0.00,6,0
B09G37KXVX,B09G37KXVX,TREEMAISON Vastu Copper Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Vastu Strips for Zone Balancing & Toilet Remedies | Main Entrance | Copper Strip for Vastu | Pack of 4,NEW-COPPER-STRIP-0.5-ST4,189,11,0.05%,0.06%,262,18,0.04%,0.07%,97.49%,100.00%,8,0,4.23%,0.00%,"₹7,757.25",₹0.00,6,0
B09G39F3NF,B09G39F3NF,TREEMAISON Vastu Aluminium Strip | Width- 1 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Aluminium Strip for Vastu | Pack of 2,ALUMINIUM-STRIP-1INCH-ST2,91,12,0.02%,0.07%,132,13,0.02%,0.05%,99.11%,100.00%,6,2,6.59%,16.67%,"₹2,982.40",₹990.21,6,2
B09G39RV9L,B09G39RV9L,TREEMAISON Vastu Stainless Steel Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Steel Strip for Vastu | Pack of 1,8FT-1''-SS-0.3MM-SET-1,"3,224",75,0.81%,0.44%,"4,134",90,0.71%,0.36%,99.53%,100.00%,6,0,0.19%,0.00%,"₹1,187.92",₹0.00,6,0
B09G3B2DTN,B09G3B2DTN,TREEMAISON Vastu Aluminium Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Aluminium Strip for Vastu | Pack of 4,ALUMINIUM-STRIP-0.5-ST4,66,6,0.02%,0.04%,88,8,0.02%,0.03%,100.00%,100.00%,7,1,10.61%,16.67%,"₹4,088.00",₹584.00,6,1
B09G3BZTTP,B09G3BZTTP,TREEMAISON Vastu Copper Strip | Width- 0.75 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Copper Stip for Vastu | Pack of 3,COPPER-STRIP-0.75-ST3,42,3,0.01%,0.02%,78,4,0.01%,0.02%,100.00%,100.00%,8,0,19.05%,0.00%,"₹6,772.00",₹0.00,6,0
B09NPXZY88,B09NPXZY88,BRONGS Vastu Brass Strip | Width- 0.5 Inch | Thickness - 0.3mm | Length- 8 Feet Approx | Zone Balancing |Toilet Correction | Main Entrance | Brass Strip for Vastu | Pack of 1,BRNGS-BRASS-STRIP-0.5-ST1,"1,096",57,0.28%,0.34%,"1,559",94,0.27%,0.37%,99.09%,100.00%,18,0,1.64%,0.00%,"₹4,611.69",₹0.00,6,0
B09NPYRG2V,B09NPYRG2V,"BRONGS Aluminium Strip | 0.75 INCH | Pack of 1 | Vastu Aluminium Strip for Toilet | Vastu Strip Remedy | Width-18mm, Thickness - 0.3mm, Length-8 Feet Approx",BRNGS-ALUMINIUM-STRIP-0.75-INCH-ST1,130,10,0.03%,0.06%,170,16,0.03%,0.06%,99.34%,100.00%,11,1,8.46%,10.00%,"₹3,154.00",₹284.00,6,1
B09NPZQL1H,B09NPZQL1H,"BRONGS Brass Strip | 1 INCH | Pack of 2 | Vastu Brass Strip for Toilet | Vastu Strip Remedy | Width-25mm, Thickness-0.3mm, Length-8 Feet Approx",BRNGS-BRASS-STRIP-ST2,245,16,0.06%,0.09%,316,18,0.05%,0.07%,98.94%,100.00%,12,0,4.90%,0.00%,"₹10,146.00",₹0.00,6,0
B09TXV3H1X,B09TXV3H1X,TREE MAISON CORONATING HOMES Brass Vaastu Tortoise | Weight - 1120 Gram Approx | Size - 22 x 12 cm | Turtle | Kachua | Feng Shui | Vastu Shastra Remedies | Turtle for Good Luck | Pack of 1,NW-TURTLE,299,9,0.08%,0.05%,433,13,0.07%,0.05%,100.00%,100.00%,6,0,2.01%,0.00%,"₹11,494.00",₹0.00,6,0
B09W8LT2K4,B09W8LT2K4,TREEMAISON Vastu Round Brass Stud Vastu Remedy for Zone Correction & Balancing Earth Element | Size- 1.5-Inch | Pack of 09,BRASS-1.5-INCH-ST9,70,5,0.02%,0.03%,100,6,0.02%,0.02%,100.00%,100.00%,7,0,10.00%,0.00%,"₹3,762.00",₹0.00,6,0
B0BCGQTRZF,B0BCGQTRZF,TREE MAISON CORONATING HOMES Vastu 3 Layer Green Pyramid | Plastic Moulded Multi-Layer Plastic Pyramid | Vastu Remedy for Home & Office | Pack of 1,3LAYER-PLASTIC-PYRAMID-GREEN,97,6,0.02%,0.04%,128,7,0.02%,0.03%,100.00%,100.00%,19,0,19.59%,0.00%,"₹5,396.00",₹0.00,6,0
B0BJ21Y3NV,B0BJ21Y3NV,TREE MAISON CORONATING HOMES Brass Vaastu Tortoise | Turtle | Weight - 590 Gram Approx | Kachua | Feng Shui | Vastu Shastra Remedies | Home Decor | Turtle for Good Luck | Pack of 1,SMALL-BRASS-TURTLE,161,5,0.04%,0.03%,225,7,0.04%,0.03%,98.96%,100.00%,8,1,4.97%,20.00%,"₹7,790.00",₹997.00,6,1
B0C8B6P796,B0C8B6P796,TREE MAISON CORONATING HOMES Copper Dowsing Rods Pair for Vastu | 5 mm Diameter | Set with Board & Brass Pendulum (Assorted) | Aura Energy Scanner | Reiki | Dowsing Rods | L-Rod | Without Handle,5MM-COPPER-DOWSING-ROD,291,6,0.07%,0.04%,409,6,0.07%,0.02%,99.11%,100.00%,6,0,2.06%,0.00%,"₹5,309.00",₹0.00,6,0
B0CL2KGHJR,B0CL2KGHJR,"TREE MAISON CORONATING HOMES Vastu Shakti Chakra | 7 Inch | Featuring 45 Devtas, 16 Attributes, Health Chart, for vaastu Shashtra Remedy (Acrylic)",PLAIN-BLACK-SHAKTICHAKRA-7IN,"5,068",225,1.28%,1.33%,"8,323",370,1.43%,1.47%,92.95%,94.39%,6,1,0.12%,0.44%,"₹1,843.21",₹310.61,6,1
B0CN3C2339,B0CN3C2339,TREE MAISON CORONATING HOMES Brass Swan Pair Statue | Hanso ke Jode | Vastu Shastra & Feng Shui Remedies | Home Decor | Showpiece | Vastu Remedy | Brass Swan Couple | Weight - 1 KG Approx,BRASS-SWAN-PAIR,182,10,0.05%,0.06%,273,16,0.05%,0.06%,98.19%,100.00%,6,0,3.30%,0.00%,"₹11,584.00",₹0.00,6,0
B0CQVBX73X,B0CQVBX73X,TREE MAISON CORONATING HOMES Vastu Copper Dowsing L-Rod | 5 MM DIAMETER | Vastu Energy Correction Tool for Home & Office | Copper L Shaped Dowsing Rod for Positive Energy | Only 2 Rods,5MM-ONLY-COPPER-WITHOUT-HANDLE,448,9,0.11%,0.05%,612,9,0.11%,0.04%,100.00%,100.00%,6,0,1.34%,0.00%,"₹4,714.00",₹0.00,6,0
B0CT5WKZ3R,B0CT5WKZ3R,TREE MAISON CORONATING HOMES Vastu Village Painting Without Frame(17 Inch ×13 Inch) |Art Wall Painting Frame for Home & Office Décor |Pack of 1,VILLAGE-PAINTING-WITHOUT-FRAME,86,2,0.02%,0.01%,116,3,0.02%,0.01%,92.23%,100.00%,6,0,6.98%,0.00%,"₹1,618.00",₹0.00,6,0
B0CTFJQD5P,B0CTFJQD5P,"TREE MAISON CORONATING HOMES Vastu Acrylic Shakti Chakra | 6 INCH | Without Colour Featuring 45 Devtas, 16 Attributes, Health Chart | Rajas, Sattav, Tamas for vaastu Shashtra Remedy",VASTU-6INCH-SHAKTI-CHAKRA-02,64,1,0.02%,0.01%,95,2,0.02%,0.01%,100.00%,0.00%,6,0,9.38%,0.00%,"₹1,622.00",₹0.00,6,0
B0CVF1HZWL,B0CVF1HZWL,TREE MAISON CORONATING HOMES Brass Rabbit Pair Statue | Weight - 440 G Approx | Vastu Shastra | Home Decor Statue | Vastu Remedy | Wealth and Prosperity | Material- Brass | Black and White Painted |,SMALL-RABBIT-PAIR-WITH-PAINT,116,4,0.03%,0.02%,139,8,0.02%,0.03%,100.00%,100.00%,6,2,5.17%,50.00%,"₹7,692.00","₹2,564.00",6,2
B0CZ4C4965,B0CZ4C4965,"TREE MAISON CORONATING HOMES Citirine Crystal Pyramid | 2 Inch | Feng Shui & Vastu Correction | Crystal Pyramid for Positive,Meditation, Health, Good Luck | Home & Office Decor | Gift | Study Table",CITIRINE-PYRAMID-2INCH,108,15,0.03%,0.09%,139,19,0.02%,0.08%,98.46%,100.00%,6,0,5.56%,0.00%,"₹1,794.00",₹0.00,6,0
B0CZHPTTMN,B0CZHPTTMN,TREE MAISON CORONATING HOMES Crystal Products Natural Clear Quartz Bracelet | Certified 8mm Faceted Beads | Diameter : 2.5 Inch | Reiki Healing & Crystal Healing Stones | Unisex Adult | Strechable,CLEAR-QUARTZ-BRACELET,40,1,0.01%,0.01%,55,1,0.01%,0.00%,100.00%,100.00%,8,0,20.00%,0.00%,"₹1,896.00",₹0.00,6,0
B0D1KJZFGF,B0D1KJZFGF,TREE MAISON CORONATING HOMES Acrylic Brown Dowsing Board 6 Inch with Crystal Seven Chakra Pendulum | Metaphysical Message Board for Witchcraft | Pendulum Dowsing Board | Witch Board,D.BROWN-BOARD-6''+CRYS-PEND,585,6,0.15%,0.04%,904,6,0.16%,0.02%,99.87%,100.00%,6,0,1.03%,0.00%,"₹1,493.24",₹0.00,6,0
B0D1KMFWC5,B0D1KMFWC5,TREE MAISON CORONATING HOMES 6 Inch Acrylic Black Sun and Moon Dowsing Board with Crystal Seven Chakra Pendulum | Metaphysical Message Board for Witchcraft | Witch Board | Pendulum Dowsing Board,SUN-BOARD-6INCH+CRYS-PEND,155,2,0.04%,0.01%,200,2,0.03%,0.01%,100.00%,100.00%,6,0,3.87%,0.00%,"₹2,294.00",₹0.00,6,0
B0D9KHJKCQ,B0D9KHJKCQ,TREE MAISON CORONATING HOMES Vastu Combo of Five Color Tapes |Size - 3 Inch| Length- 10 Feet (Approx) |Vastu Remedy for Toilet | Main Door Entrance | Tape Remedy | Pack of 5,3-INCH-VINYL-TAPE-SET-5,92,5,0.02%,0.03%,114,7,0.02%,0.03%,100.00%,100.00%,6,0,6.52%,0.00%,"₹3,402.00",₹0.00,6,0
B0D9M24PZB,B0D9M24PZB,TREEMAISON Vastu Red-White Color Vinyl Tape | Size - 4 IncH Approx | Length- 8 Feet (Approx) | Vastu Tape for Toilet Correction | Vastu Tape for Main Door | Tape Remedy | Pack of 2,VINYL-TAPE-RED-WHITE-4-INCH,34,1,0.01%,0.01%,47,2,0.01%,0.01%,100.00%,0.00%,6,0,17.65%,0.00%,"₹1,549.00",₹0.00,6,0
B0DG91MPW4,B0DG91MPW4,TREE MAISON CORONATING HOMES Vastu Copper Strip | Width- 1 Inch | Thickness - 0.2mm | Length- 50 Feet Approx | Strip for Entrance & Toilet Correction |Copper Strip for Vastu | Pack of 1,50FEET-1INCH-STRIP-COPPER-SET-1,123,9,0.03%,0.05%,181,10,0.03%,0.04%,100.00%,100.00%,6,1,4.88%,11.11%,"₹12,792.00","₹1,997.00",6,1
B0DGXH7CWP,B0DGXH7CWP,TREE MAISON CORONATING HOMES Selenite Crystal Charging Plate | 3 Inch Approx | Engraved OM Selenite Plate for Crystal Cleansing | Selenite Plate to Charge Reiki | Pack of 1,OM-SELENITE-PLATE,410,12,0.10%,0.07%,544,19,0.09%,0.08%,99.40%,100.00%,11,0,2.68%,0.00%,"₹2,723.04",₹0.00,6,0
B0DL5K44D7,B0DL5K44D7,TREE MAISON CORONATING HOMES Vastu Dhan Kuber Ji Idol | 4.5 Inch | Weight - 226 G Approx | Lord Kuber Statue for Wealth & Prosperity | Hindu Spiritual Decor | Kubera Idol | Murti for Home Decoration,DHAN-KUBERJI-4IN,154,11,0.04%,0.06%,284,15,0.05%,0.06%,98.56%,100.00%,6,0,3.90%,0.00%,"₹10,794.00",₹0.00,6,0
B0DTKBQT6W,B0DTKBQT6W,"TREE MAISON CORONATING HOMES Aluminium Spring (Set-3) | Anti Clock Wise Spring | Vastu Spring Remedy | Vastu Remedy | Direction-NNW, N, NNE, NE |",ALUMINIUM-ACW-SPRING-ST-3,36,2,0.01%,0.01%,66,3,0.01%,0.01%,100.00%,100.00%,8,0,22.22%,0.00%,"₹2,287.00",₹0.00,6,0
B0F2TFN5XR,B0F2TFN5XR,TREE MAISON CORONATING HOMES Zinc Helix | 4 Inch |Energy Booster Vastu Remedy| Vastu Helix Remedy for Zone Correction |Zonal Placement - NE | Pack of 3,4IN-ZINC-HELIX-SET-3,52,1,0.01%,0.01%,66,1,0.01%,0.00%,100.00%,100.00%,7,0,13.46%,0.00%,"₹5,964.00",₹0.00,6,0
B0F2TGXDXD,B0F2TGXDXD,TREE MAISON CORONATING HOMES Copper Plain Helix | 4 Inch |Energy Booster Vastu Remedy| Vastu Helix Remedy for Zone Correction |Zonal Placement - SE | Pack of 3,4IN-COPPER-PLAIN-HELIX-SET-3,95,2,0.02%,0.01%,125,2,0.02%,0.01%,100.00%,100.00%,8,1,8.42%,50.00%,"₹13,009.00","₹1,676.00",6,1
B0F91N77X4,B0F91N77X4,TREE MAISON CORONATING HOMES Selenite Crystal Charging Plate | 3 Inch Approx |Selenite Plate to Charge Reiki Crystal |Selenite Plate for Crystal Cleansing | Pack of 1,MANDALA-COLOR-PLATE-ROUND,181,7,0.05%,0.04%,220,10,0.04%,0.04%,99.51%,100.00%,8,0,4.42%,0.00%,"₹2,246.02",₹0.00,6,0
B0FH2CDV3W,B0FH2CDV3W,"BRONGS Rose Quartz Pyramid | 1.3-Inch (33 mm) | Natural Rose Quartz Crystal Pyramid for Love, Emotional Healing, and Harmony | Perfect for Meditation and Gifting | Vastu Remedy",BG-1.5-INCH-ROSE-QUARTZ-PYRAMID,100,4,0.03%,0.02%,121,6,0.02%,0.02%,100.00%,100.00%,6,0,6.00%,0.00%,"₹1,144.00",₹0.00,6,0
B0FH6NPYHQ,B0FH6NPYHQ,BRONGS Dowsing Board with Clear Quartz Pendulum | 9 Inch | Dowsing Board | Metaphysical Message Board | Acrylic Divination Board | Spirit Board | Witch Board |,BG-9IN-BLACK-BOARD+CLR-QTZ-PND,96,4,0.02%,0.02%,118,4,0.02%,0.02%,100.00%,100.00%,6,0,6.25%,0.00%,"₹2,871.00",₹0.00,6,0
B0FH6Q4PLD,B0FH6Q4PLD,BRONGS Dowsing Board with Clear Quartz Pendulum |Size- 9 Inch | Dowsing Board | Metaphysical Message Board | Acrylic Divination Board | Spirit Board | Witch Board,BG-9IN-D-BROWN-BOARD+CLR-QTZ-PND,149,2,0.04%,0.01%,188,2,0.03%,0.01%,98.24%,100.00%,6,0,4.03%,0.00%,"₹3,294.00",₹0.00,6,0
B0G4WNHK2W,B0G4WNHK2W,TREE MAISON CORONATING HOMES Brass All Digpal Shastra Statue |Shastra Set for Temple & Home |Vastu Protection Idols |Spiritual Home Decor | Pack of 8,BRASS-DIGPAL-SHASTRA-STATUE-ST-8,84,13,0.02%,0.08%,112,20,0.02%,0.08%,100.00%,100.00%,6,1,7.14%,7.69%,"₹8,544.00","₹1,424.00",6,1
B0G5PGM73K,B0G5PGM73K,BRONGS Brass All Digpal Shastra Statue|Shastra Set for Temple & Home |Vastu Protection Idols |Spiritual Home Decor | Pack of 8,BG-BRASS-DIGPAL-SHASTRA-STATUE-ST-8,87,3,0.02%,0.02%,135,8,0.02%,0.03%,100.00%,100.00%,7,0,8.05%,0.00%,"₹9,968.00",₹0.00,6,0
